"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.211558375E0,2.302323341E0,8.016619682E-1,2.787189782E-1
3.231448375E0,2.994424582E0,-8.293388486E-1,3.319163322E-1
3.251338375E0,3.322464466E0,-1.858511806E0,3.531419039E-1
3.271227375E0,3.113424301E0,-2.324404240E0,-4.720957577E-2
3.291117375E0,2.442579985E0,-2.535154819E0,-6.962013841E-1
3.311007375E0,1.577858686E0,-4.024800777E0,-7.504714727E-1
3.330896375E0,-8.754249215E-1,-5.334716320E0,-2.690956295E-1
3.350786375E0,-2.460489273E0,-2.322735071E0,1.110321283E-1
3.370676375E0,-1.835186481E0,1.296590269E-1,2.131405026E-1
3.390565375E0,-1.410573840E0,5.030480027E-1,4.308199584E-1
3.410455375E0,-2.924852848E0,5.053510070E-1,1.778033495E0
3.430345375E0,-3.967301846E0,-2.717199028E-1,2.403115988E0
3.450234375E0,-1.944814563E0,2.303527832E0,3.086652040E0
3.470124375E0,-7.716552019E-1,6.423478127E0,3.001750708E0
3.490014375E0,-7.959222794E-1,7.450799942E0,2.144452333E0
3.509903375E0,-2.063243866E0,3.541739941E0,3.961924016E-1
3.529793375E0,-2.876765490E0,-1.440560818E0,-8.380599022E-1
3.549683375E0,-1.759946704E0,-2.858350277E0,-8.280563354E-1
3.569572375E0,-5.480548739E-1,-2.277480364E0,-1.971368343E-1
3.589462375E0,-3.130730093E-1,1.690802425E-1,3.593647480E-1
3.609352375E0,-3.630969524E-1,9.709026217E-1,1.011736989E0
3.629241375E0,-1.519140899E-1,1.815198064E0,1.360998154E0
3.649131375E0,4.784399867E-1,3.146688938E0,1.226698399E0
3.669021375E0,8.763970137E-1,3.518016815E0,9.241143465E-1
3.688910375E0,8.950248957E-1,2.241091967E0,3.421227634E-1
3.708800375E0,1.158844590E0,1.516093731E0,-2.784855664E-1
3.728690375E0,1.484728932E0,1.557285905E0,-6.635675430E-1
3.748579375E0,1.347088814E0,1.440438390E0,-1.094996333E0
3.768469708E0,6.649226546E-1,8.248460293E-1,-1.881511331E0
3.788359708E0,-1.481751800E0,1.249706388E0,-2.078018904E0
3.808248708E0,-1.191303849E0,9.967495203E-1,3.757658601E-1
3.828138708E0,2.388345480E0,1.682084054E-1,2.004380226E0
3.848028708E0,2.816811085E0,-1.522317052E0,1.913751245E0
3.867917708E0,1.095413685E0,-2.338038206E0,5.292831659E-1
3.887807708E0,-1.364467025E0,-2.194362640E0,-3.091074824E-1
3.907697708E0,-1.541976690E0,-1.163076997E0,-1.109039903E0
3.927586708E0,-8.326391578E-1,-2.071687579E-1,-1.646644473E0
3.947476708E0,1.751695395E0,4.162722453E-2,-9.208996296E-1
3.967366708E0,1.722403169E0,-1.539960742E0,-5.558403134E-1
3.987255708E0,8.030737042E-1,-2.819174528E0,-5.473163724E-1
4.007145708E0,-1.084813029E-1,-3.140467167E0,-7.639391422E-1
4.027035708E0,-6.725350618E-1,-2.563614130E0,-9.806271195E-1
4.046924708E0,-9.673528671E-1,-1.318164587E0,-7.941101789E-1
4.066814708E0,-6.441637874E-1,1.680244952E-1,-2.580266297E-1
4.086704708E0,1.099807844E-1,8.411687613E-1,1.553127468E-1
4.106593708E0,1.066433907E0,1.115516067E0,3.526910841E-1
4.126483708E0,1.937331676E0,1.075987935E0,3.510598838E-1
4.146373708E0,2.725966215E0,2.307878286E-1,2.393874824E-1
4.166262708E0,3.190588236E0,-6.230952740E-1,3.380340040E-1
4.186152708E0,3.355149746E0,-1.085210800E0,4.680203795E-1
4.206042708E0,3.104912043E0,-1.340044141E0,3.115092777E-2
4.225931708E0,2.311384201E0,-1.881136060E0,-8.483572602E-1
4.245821708E0,1.731872797E0,-3.480510712E0,-8.726989031E-1
4.265711708E0,6.171174049E-1,-5.552586555E0,-7.182322741E-1
4.285600708E0,-1.673424602E0,-3.325764894E0,-3.340500295E-1
4.305490708E0,-2.124433041E0,-4.440227747E-1,1.521773189E-1
4.325380708E0,-1.568498731E0,-7.299288511E-1,2.539879382E-1
4.345269708E0,-2.931893826E0,2.409203500E-1,1.060869813E0
4.365159708E0,-3.478253365E0,1.158491254E0,1.863000393E0
4.385049708E0,-2.769221544E0,6.753015518E-1,2.811693668E0
4.404938708E0,-8.847437501E-1,4.987421036E0,2.897962332E0
4.424828708E0,-5.416517258E-1,7.438735008E0,1.818267226E0
4.444718708E0,-1.786942244E0,4.536774635E0,2.548325360E-1
4.464607708E0,-3.316477537E0,3.589848578E-1,-9.217529297E-1
4.484497708E0,-3.118307829E0,-1.481430650E0,-9.545974731E-1
4.504387708E0,-2.059747934E0,-2.028968811E0,-1.567449421E-1
4.524276708E0,-1.444787860E0,-1.027783632E0,5.557178855E-1
4.544166708E0,-1.022378206E0,3.503789306E-1,1.054711580E0
4.564056708E0,-2.500106990E-1,2.513062000E0,1.407472610E0
4.583945708E0,3.332241774E-1,3.552684069E0,1.744808674E0
4.603835708E0,4.799675047E-1,2.571281433E0,1.948754072E0
4.623725708E0,9.272064567E-1,1.522581816E0,1.639294982E0
4.643614708E0,1.438202858E0,1.604909182E0,5.538868904E-1
4.663504708E0,1.707542658E0,1.532533407E0,-2.531287670E-1
4.683394708E0,1.990250111E0,1.485442638E0,-6.673750877E-1
4.703283708E0,2.085048199E0,1.290646791E0,-1.172007680E0
4.723173708E0,5.944294333E-1,2.054107904E0,-1.697315216E0
4.743063708E0,-2.710886955E0,2.295741558E0,-6.925210953E-1
4.762952708E0,1.980775714E0,9.595610499E-1,8.767981529E-1
4.782842583E0,2.735408306E0,-1.113016725E0,1.145584226E0
4.802732583E0,1.044497848E0,-3.710990667E0,1.089996457E0
4.822621583E0,-2.032162189E0,-1.752414465E0,7.591888905E-1
4.842511583E0,-1.827582598E0,-1.953804791E-1,-4.283719659E-1
4.862401583E0,-5.238897800E-1,-1.576759666E-1,-1.175493956E0
4.882290583E0,1.587043285E0,-1.732008219E0,-9.602992535E-1
4.902180583E0,1.595540047E0,-3.927287579E0,-1.003494859E0
4.922070583E0,8.820443153E-1,-4.307026863E0,-1.145010233E0
4.941959583E0,1.043070480E-1,-3.407155752E0,-1.317218065E0
4.961849583E0,-4.160387516E-1,-1.717493892E0,-1.333432436E0
4.981739583E0,-3.597388566E-1,6.331561804E-1,-9.043957591E-1
5.001628583E0,2.517287433E-1,2.339064360E0,-2.306393087E-1
5.021518583E0,1.042227864E0,2.814512968E0,2.408027947E-1
5.041408583E0,2.136186361E0,1.925879359E0,3.233512044E-1
5.061297583E0,3.787253380E0,-1.055908203E0,-8.153271675E-2
5.081187583E0,4.485848904E0,-2.873844624E0,-4.444991648E-1
5.101077583E0,4.236340523E0,-2.789048195E0,-2.743949294E-1
5.120966583E0,3.558403730E0,-1.814384460E0,-3.530440480E-2
5.140856583E0,2.404762268E0,-1.163276315E0,-2.174962163E-1
5.160746583E0,-3.738768026E-2,-3.620643377E0,-6.299136877E-1
5.180635583E0,-1.605723977E0,-4.915599346E0,-2.750678360E-1
5.200525583E0,-1.472537875E0,-3.463410378E0,2.455627620E-1
5.220415583E0,-7.148367763E-1,-2.050497532E0,4.532105923E-1
5.240304583E0,-1.269028068E0,-1.744853735E0,2.688529901E-2
5.260194583E0,-2.444020987E0,6.296640038E-1,4.598294497E-1
5.280084583E0,-2.661249399E0,1.387094021E0,1.605300903E0
5.299973583E0,-3.432611942E0,-2.820475958E-3,2.638298750E0
5.319863583E0,-2.031905174E0,2.457997561E0,3.236302614E0
5.339753583E0,-1.128803611E0,6.371417522E0,3.052453279E0
5.359642583E0,-1.068512440E0,7.100414276E0,2.113724709E0
5.379532583E0,-2.162135363E0,3.737025499E0,4.689469635E-1
5.399422583E0,-3.114522457E0,-3.537515104E-1,-7.729888558E-1
5.419311583E0,-2.117655754E0,-1.240880251E0,-8.676686287E-1
5.439201583E0,-9.366348982E-1,-1.800582528E0,-4.059981704E-1
5.459091583E0,1.867770217E-2,-1.593630314E0,-1.376225054E-1
5.478980583E0,2.676671445E-1,1.431792527E-1,7.618137598E-1
5.498870583E0,2.876458131E-2,1.679702759E0,1.612657905E0
5.518760583E0,3.478434980E-1,3.525953054E0,1.511407971E0
5.538649583E0,8.015557528E-1,4.413974762E0,9.969061017E-1
5.558539583E0,8.246690631E-1,3.038015842E0,4.975181222E-1
5.578429583E0,1.128569722E0,1.518039465E0,-7.987876981E-2
5.598318583E0,1.829887390E0,1.189414740E0,-6.391915083E-1
5.618208583E0,1.761239290E0,1.282328486E0,-1.228715777E0
5.638098583E0,6.912836432E-1,1.267925739E0,-1.733126163E0
5.657988583E0,-2.166416407E0,1.599047184E0,-1.617753386E0
5.677877583E0,-4.782437086E-1,7.209529877E-1,5.362823606E-1
5.697767583E0,2.599375725E0,-1.199800134E0,2.153796196E0
5.717657583E0,2.693864822E0,-3.105805635E0,1.930824757E0
5.737546583E0,-9.366589785E-1,-2.128485680E0,9.911721349E-1
5.757436583E0,-2.655537605E0,6.175789610E-2,-1.576740108E-2
5.777325750E0,-1.663214087E0,3.015429676E-1,-1.450928688E0
5.797214750E0,5.434763432E-1,-3.646139205E-1,-1.904311061E0
5.817104750E0,1.833802700E0,-2.533218145E0,-1.609206319E0
5.836994750E0,1.524705172E0,-4.007046223E0,-1.259728551E0
5.856883750E0,7.946264744E-1,-3.991461277E0,-8.867631555E-1
5.876773750E0,1.569402665E-1,-2.991151094E0,-8.462674022E-1
5.896663750E0,-3.100840747E-1,-9.588621855E-1,-8.415649533E-1
5.916552750E0,-2.654061317E-1,1.471474290E0,-5.143925548E-1
5.936442750E0,4.517182112E-1,3.106924295E0,-5.079548061E-2
5.956332750E0,1.284537673E0,3.639707804E0,3.384818733E-1
5.976221750E0,2.335966587E0,2.579526663E0,4.036338329E-1
5.996111750E0,3.763643742E0,-1.810570806E-1,1.479755938E-1
6.016001750E0,4.263492107E0,-1.578178525E0,6.804452837E-2
6.035890750E0,4.024753571E0,-1.823612690E0,1.733928472E-1
6.055780750E0,3.306230068E0,-1.781268358E0,2.376412600E-2
6.075670750E0,2.166771173E0,-2.542086124E0,-3.733381629E-1
6.095559750E0,-9.626417756E-1,-8.703441620E0,-3.060024977E-1
6.115449750E0,-2.921961784E0,-7.316459656E0,2.136674374E-1
6.135339750E0,-2.499672413E0,-2.767626286E0,7.962809801E-1
6.155229750E0,-1.199694753E0,8.446158171E-1,8.874456882E-1
6.175118750E0,-2.200737238E0,1.043145657E0,1.415646195E0
6.195008750E0,-3.690124989E0,1.782345027E-2,2.487443924E0
6.214898750E0,-3.198345900E0,6.919717193E-1,2.785301685E0
6.234787750E0,-7.187052965E-1,5.746870995E0,3.106335402E0
6.254677750E0,-8.762961626E-2,8.236639977E0,2.300467014E0
6.274567750E0,-9.651069641E-1,5.934057713E0,6.818022728E-1
6.294456750E0,-3.042350054E0,9.512168169E-1,-1.097720385E0
6.314346750E0,-3.130673885E0,-1.335263968E0,-1.525045514E0
6.334236750E0,-1.769489884E0,-2.198182583E0,-9.661916494E-1
6.354125750E0,-7.407057881E-1,-1.665222049E0,-1.877232194E-1
6.374015750E0,-1.356758177E-1,3.731487989E-1,5.093168020E-1
6.393905750E0,-8.437763900E-2,1.478071332E0,1.343492866E0
6.413794750E0,-2.219871730E-1,2.496736526E0,1.672642231E0
6.433684750E0,-5.413246527E-2,3.294797421E0,1.680196881E0
6.453574750E0,3.633573353E-1,2.820650816E0,1.391860127E0
6.473463750E0,9.352476001E-1,1.971196532E0,8.279219270E-1
6.493353750E0,1.456140876E0,1.801415324E0,1.621925086E-1
6.513243750E0,1.941351891E0,2.051368237E0,-3.352947533E-1
6.533133750E0,1.950521111E0,1.393320203E0,-8.704679012E-1
6.553022750E0,1.082660198E0,4.411232471E-1,-1.620711088E0
6.572912750E0,-4.349598885E0,1.114036083E0,-1.426833391E0
6.592802750E0,1.204306364E0,5.919439793E-1,2.924118042E-1
6.612691750E0,3.088210583E0,6.702198982E-1,1.401849985E0
6.632581750E0,2.296522617E0,-1.258272409E0,1.061043143E0
6.652471750E0,-1.129397273E0,-2.359005213E0,4.766215980E-1
6.672360750E0,-2.138109446E0,-2.383794785E0,-2.624236941E-1
6.692250750E0,-1.105462909E0,-2.125135183E0,-1.286288857E0
6.712140750E0,1.182522535E0,-7.470303774E-1,-1.178712845E0
6.732029750E0,2.225699663E0,-1.653378010E0,-7.835999131E-1
6.751919750E0,1.577124953E0,-2.838751793E0,-7.755253315E-1
6.771810208E0,6.159051657E-1,-2.780093670E0,-9.528908134E-1
6.791699208E0,-1.372855157E-1,-1.863070965E0,-1.175555468E0
6.811589208E0,-5.310679674E-1,-2.993106544E-1,-1.057291508E0
6.831479208E0,-1.931737065E-1,1.304543734E0,-3.676754236E-1
6.851369208E0,6.814162731E-1,2.148425341E0,4.493626058E-1
6.871258208E0,1.711652517E0,1.850456834E0,8.264563680E-1
6.891148208E0,2.533252716E0,6.603977680E-1,8.292015195E-1
6.911038208E0,3.255014658E0,-1.112954974E0,6.077219844E-1
6.930927208E0,3.435982466E0,-2.001433611E0,4.822688103E-1
6.950817208E0,3.380763292E0,-2.147372723E0,4.897349179E-1
6.970707208E0,3.040112257E0,-2.231437206E0,3.222975135E-1
6.990596208E0,2.150835991E0,-2.872853041E0,-2.196202427E-1
7.010486208E0,2.888887227E-1,-6.098784447E0,-6.225038767E-1
7.030376208E0,-1.979396224E0,-6.427215576E0,-5.009648800E-1
7.050265208E0,-2.356239080E0,-3.418483019E0,1.430246234E-1
7.070155208E0,-1.750089049E0,-2.643888891E-1,4.759920537E-1
7.090045208E0,-1.665178657E0,-3.579480052E-1,5.510718822E-1
7.109935208E0,-2.473603487E0,3.568017483E-1,1.210411310E0
7.129824208E0,-3.279285192E0,7.017007470E-1,1.565245628E0
7.149714208E0,-2.220993280E0,2.327305794E0,2.394212961E0
7.169604208E0,-9.810497165E-1,5.925594330E0,2.963377476E0
7.189493208E0,-7.516766191E-1,7.317990303E0,2.177774906E0
7.209383208E0,-1.640794277E0,5.022061348E0,6.195150018E-1
7.229273208E0,-3.058791637E0,5.518709421E-1,-7.842876315E-1
7.249162208E0,-2.984146833E0,-1.999354839E0,-8.288168311E-1
7.269052208E0,-1.404379964E0,-2.832808495E0,4.527368024E-2
7.288942208E0,-1.600323170E-1,-3.221287727E0,7.592650652E-1
7.308831208E0,5.101867318E-1,-1.076968312E0,1.155145288E0
7.328721208E0,8.380741626E-2,1.183351636E0,1.655097723E0
7.348611208E0,5.757857114E-2,1.814021349E0,1.460349441E0
7.368501208E0,7.843005061E-1,2.805744410E0,9.369018078E-1
7.388390208E0,1.393924356E0,4.389684200E0,5.295306444E-1
7.408280208E0,1.204677105E0,3.422025204E0,2.974723279E-1
7.428170208E0,1.169430852E0,1.816188574E0,-1.204211563E-1
7.448059208E0,1.641815543E0,1.351292133E0,-6.589727998E-1
7.467949208E0,1.630598187E0,1.071319938E0,-1.290406704E0
7.487839208E0,4.664487541E-1,1.071731687E0,-2.322465181E0
7.507728208E0,-3.528491497E0,1.501957655E0,-2.223922253E0
7.527618208E0,2.700495124E-1,7.652860135E-2,5.832261443E-1
7.547508208E0,3.016965628E0,-4.965151250E-1,2.589242697E0
7.567398208E0,2.423524141E0,-1.136648178E0,1.933728099E0
7.587287208E0,-1.355982274E-1,-1.543203592E0,1.436914504E-1
7.607177208E0,-1.727209926E0,-4.685643315E-1,-7.161763906E-1
7.627067208E0,-1.397248149E0,-2.385008484E-1,-1.297476411E0
7.646956208E0,-4.911390841E-1,-3.795230687E-1,-1.969160914E0
7.666846208E0,1.965013981E0,-1.222910047E0,-1.270634770E0
7.686736208E0,2.022307158E0,-2.967464924E0,-9.442048073E-1
7.706625208E0,1.320873976E0,-3.800244808E0,-4.762720764E-1
7.726515208E0,6.483747959E-1,-3.915262461E0,-5.422142148E-1
7.746405208E0,1.714143902E-2,-3.517796040E0,-8.381921649E-1
7.766294208E0,-7.215221524E-1,-2.015614510E0,-8.737068176E-1
7.786184458E0,-8.616369367E-1,1.607224941E-1,-5.210170150E-1
7.806074458E0,-2.760787606E-1,1.858697176E0,-1.525027007E-1
7.825964458E0,6.751126051E-1,2.641897917E0,1.358049959E-1
7.845853458E0,1.789224267E0,2.337724686E0,3.641673625E-1
7.865743458E0,2.836668015E0,9.661402702E-1,4.909794033E-1
7.885633458E0,3.387685299E0,-2.732984424E-1,7.085111737E-1
7.905522458E0,3.599910259E0,-1.202055931E0,7.937849164E-1
