"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.201959083E0,-8.134384460E0,-2.570604401E0,4.423301697E-1
3.221846083E0,-8.011490021E0,-2.485730896E0,2.148033142E-1
3.241734083E0,-9.041198730E0,-2.759212189E0,-3.323089600E-2
3.261622083E0,-1.203482346E1,-3.911366272E0,-4.234693909E-1
3.281510083E0,-1.347916992E1,-5.745352478E0,3.284170532E-1
3.301398083E0,-1.051787796E1,-6.319558411E0,1.477427673E-1
3.321286083E0,-7.889942780E0,-4.528981934E0,-1.347198486E0
3.341174083E0,-6.386768646E0,-2.428100739E0,-1.437311096E0
3.361061083E0,-6.983727264E0,-2.626438293E0,-1.675765228E0
3.380949083E0,-9.035660248E0,-3.975732422E0,-1.155896301E0
3.400837083E0,-1.061173279E1,-4.903952179E0,-1.211281128E0
3.420724833E0,-1.035561539E1,-4.781207428E0,-1.506916351E0
3.440612833E0,-8.935967560E0,-3.986959076E0,-1.641935577E0
3.460500833E0,-8.107739868E0,-3.600163422E0,-1.910177765E0
3.480388833E0,-8.078101501E0,-3.663032684E0,-1.797911224E0
3.500275833E0,-8.671766968E0,-3.740870819E0,-1.125808868E0
3.520163833E0,-9.342222748E0,-3.409909058E0,-3.802093506E-2
3.540051833E0,-9.730515289E0,-3.124003601E0,9.403445435E-1
3.559939833E0,-9.723180542E0,-3.421135712E0,7.253915405E-1
3.579827833E0,-9.816137238E0,-3.968846741E0,5.339396667E-1
3.599715833E0,-9.821226654E0,-4.563410339E0,-1.038839722E-1
3.619603833E0,-9.192084961E0,-4.647834778E0,-1.137484589E0
3.639490833E0,-8.647218018E0,-4.359534302E0,-2.467618561E0
3.659378833E0,-8.406817932E0,-4.044439545E0,-3.310366058E0
3.679266833E0,-7.544910278E0,-3.627855835E0,-3.681893463E0
3.699154833E0,-7.447163544E0,-3.507506104E0,-3.294049988E0
3.719042833E0,-7.720046082E0,-3.711831207E0,-2.900218964E0
3.738930833E0,-8.204289093E0,-4.052373047E0,-2.693349152E0
3.758818833E0,-8.531508636E0,-4.320914612E0,-2.449955292E0
3.778706833E0,-8.733738098E0,-4.326153717E0,-1.825903015E0
3.798593833E0,-8.887468414E0,-4.287084961E0,-1.409169617E0
3.818481833E0,-9.220675507E0,-4.339326324E0,-8.569679260E-1
3.838369833E0,-9.469158783E0,-4.323159943E0,-4.586462402E-1
3.858257833E0,-9.867779846E0,-3.675157471E0,2.071691895E-1
3.878145833E0,-9.941576385E0,-3.127596130E0,9.804611206E-1
3.898033833E0,-9.805808716E0,-2.691253510E0,1.822909241E0
3.917921833E0,-1.007509872E1,-3.185974731E0,1.838177490E0
3.937809833E0,-9.576186218E0,-3.136278076E0,1.297202454E0
3.957697833E0,-9.405092010E0,-3.326382751E0,5.520520020E-1
3.977584833E0,-9.273515625E0,-3.625610504E0,-1.460961914E-1
3.997472833E0,-8.979526978E0,-3.834126892E0,-1.025068359E0
4.017360833E0,-8.862769775E0,-4.107458496E0,-2.040257263E0
4.037248833E0,-8.488997040E0,-4.302353210E0,-2.913092194E0
4.057136833E0,-8.250692596E0,-4.237088928E0,-3.354374542E0
4.077024833E0,-8.032895508E0,-3.844006348E0,-3.389401703E0
4.096912833E0,-7.824079742E0,-3.676205292E0,-3.027753754E0
4.116800833E0,-8.004604340E0,-3.846401367E0,-2.865940247E0
4.136688833E0,-8.260122986E0,-4.027674408E0,-2.515369263E0
4.156575833E0,-8.617280273E0,-4.249962158E0,-1.952988739E0
4.176463833E0,-9.033863983E0,-4.596192169E0,-1.504072266E0
4.196351833E0,-9.695787506E0,-4.619992676E0,-7.128176880E-1
4.216239833E0,-1.008078690E1,-4.200115814E0,2.555186462E-1
4.236127833E0,-9.818831635E0,-3.370989990E0,1.199156342E0
4.256015833E0,-9.887688446E0,-2.919528809E0,1.951491852E0
4.275903833E0,-9.755513306E0,-2.689606934E0,1.410816193E0
