"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.341810542E0,1.652402282E-1,-2.630845830E-2,-2.091726474E-2
2.361697542E0,2.077731043E-1,-3.518446684E-1,-1.304690391E-1
2.381585542E0,6.668422371E-2,-5.752981901E-1,-1.426150054E-1
2.401473542E0,-1.880237460E-1,-4.610360265E-1,4.495544434E-1
2.421362083E0,-8.702347428E-2,-3.445062339E-1,9.188309312E-1
2.441249083E0,1.562245488E-1,-4.559189975E-1,1.079960227E0
2.461137083E0,8.741602302E-2,-4.757817388E-1,1.077358723E0
2.481025083E0,3.758153319E-2,-6.152263880E-1,8.649091721E-1
2.500913083E0,1.422875077E-1,-7.418572307E-1,5.989393592E-1
2.520801083E0,2.974732816E-1,-8.543384075E-1,4.267126620E-1
2.540688083E0,2.541534007E-1,-7.190631032E-1,3.078203201E-1
2.560576083E0,3.228182495E-1,-9.519686699E-1,1.625235975E-1
2.580464083E0,-5.884422362E-2,-4.083856046E-1,2.435755357E-2
2.600352083E0,-2.369027957E-2,-5.839437842E-1,4.788336903E-2
2.620240083E0,1.189989075E-1,-7.226660848E-1,1.982532255E-2
2.640128083E0,6.372801960E-2,-6.809235215E-1,-5.890006572E-2
2.660015083E0,-2.147176117E-2,-5.851178765E-1,-7.434823364E-2
2.679903083E0,2.636583149E-2,-6.443161964E-1,-4.643055052E-2
2.699791083E0,1.234622747E-1,-6.950439215E-1,-1.650622487E-2
2.719679083E0,9.086335450E-2,-6.394720674E-1,3.535952419E-2
2.739567083E0,4.154600576E-2,-4.401829541E-1,8.210363984E-2
2.759454083E0,6.397247314E-2,-3.669860959E-1,1.038749665E-1
2.779342083E0,4.282885045E-2,-2.582293749E-1,1.545272470E-1
2.799230083E0,2.196215279E-2,-1.343059391E-1,2.264177948E-1
2.819118083E0,-3.037912399E-2,-7.237088680E-2,3.232501745E-1
2.839006083E0,-9.760937840E-2,-5.774471909E-2,3.584991693E-1
2.858894083E0,-1.341484785E-1,-5.003461242E-2,4.033721387E-1
2.878781083E0,-1.483680159E-1,-1.307359934E-1,4.449071288E-1
2.898669083E0,-1.762010008E-1,-2.421752810E-1,4.388536513E-1
2.918557083E0,-1.969980150E-1,-3.865622878E-1,4.424207211E-1
2.938445083E0,-1.677313298E-1,-5.273942947E-1,5.753617883E-1
2.958333083E0,-1.923038512E-1,-6.139719486E-1,7.422961593E-1
2.978220083E0,-2.046498507E-1,-8.450499177E-1,7.868653536E-1
2.998108083E0,-1.469574869E-1,-1.042572975E0,7.139912844E-1
3.017996083E0,-1.127984971E-1,-1.084997416E0,6.830185056E-1
3.037884083E0,-1.719835848E-1,-9.898720384E-1,7.545379400E-1
3.057772083E0,-1.266604066E-1,-1.039814949E0,6.352133751E-1
3.077660083E0,-2.503761053E-1,-6.620082855E-1,5.116476417E-1
3.097547083E0,-1.371256262E-1,-9.271168709E-1,2.898708284E-1
3.117435083E0,-2.376300246E-1,-5.031113625E-1,2.161342055E-1
3.137323083E0,-2.542428970E-1,-4.100094438E-1,6.737638265E-2
3.157211083E0,-2.020067424E-1,-3.941932023E-1,-7.307188213E-2
3.177099083E0,-2.386997789E-1,-8.737187088E-2,-1.928091943E-1
3.196987083E0,-2.793953717E-1,1.258521080E-1,-3.584329784E-1
3.216875083E0,-2.685515583E-1,3.227546811E-1,-5.103211999E-1
3.236762083E0,-1.957260817E-1,4.713122249E-1,-4.770357013E-1
3.256650083E0,4.276244726E-4,4.317867160E-1,-8.765839785E-2
3.276538083E0,3.878491521E-1,2.478396147E-1,3.120438755E-1
3.296426083E0,5.028774142E-1,1.516860873E-1,2.247051001E-1
3.316314083E0,1.474420279E-1,1.427065283E-1,1.517562717E-1
3.336202083E0,-1.999707147E-2,1.885343641E-1,4.156225547E-2
3.356089083E0,4.962759092E-3,3.224303722E-1,-1.126253679E-1
3.375977083E0,3.620940074E-2,3.894819319E-1,-1.331211925E-1
3.395865083E0,-1.084912685E-3,1.945114881E-1,-3.781108186E-2
3.415753083E0,-8.650199324E-2,3.281945363E-3,-5.753518082E-3
3.435640833E0,-1.348245889E-1,-5.676447228E-2,-2.433502115E-2
3.455528833E0,-1.929280162E-1,-7.363633066E-2,-8.772328496E-2
3.475416833E0,-2.029350400E-1,-1.426315755E-1,-1.481059045E-1
3.495303833E0,-1.563239396E-1,-2.144629657E-1,-1.471836865E-1
3.515191833E0,-6.362522393E-2,-1.722728759E-1,-9.326293319E-2
3.535079833E0,5.943826959E-2,1.044885963E-1,-9.941130877E-3
3.554967833E0,2.027118802E-1,3.844013810E-1,9.530704468E-2
3.574855833E0,3.397063315E-1,6.071563363E-1,2.045631260E-1
3.594743833E0,4.279967248E-1,6.472777128E-1,3.414735198E-1
3.614631833E0,4.589580595E-1,4.859204292E-1,4.082891643E-1
3.634518833E0,4.230890274E-1,2.433804572E-1,4.050908685E-1
3.654406833E0,2.738106549E-1,2.761662006E-1,3.429879546E-1
3.674294833E0,1.759046316E-1,8.714644611E-2,1.780202091E-1
3.694182833E0,9.599030763E-2,-8.487122506E-2,6.134457886E-2
3.714070833E0,-3.925573453E-2,-1.025526673E-1,-6.865607947E-2
3.733958833E0,-1.754223108E-1,-2.021870166E-1,-2.128123194E-1
3.753846833E0,-3.140263855E-1,-3.972602785E-1,-3.008288741E-1
3.773734833E0,-4.149562120E-1,-5.639742017E-1,-3.477132320E-1
3.793622833E0,-4.522557855E-1,-7.003361583E-1,-3.782664239E-1
3.813509833E0,-4.618030488E-1,-7.364462614E-1,-3.453129530E-1
3.833397833E0,-3.947711885E-1,-7.524152994E-1,-2.675164938E-1
3.853285833E0,-3.205726743E-1,-6.931564212E-1,-1.450656205E-1
3.873173833E0,-1.675928384E-1,-5.346797109E-1,-6.643038988E-2
3.893061833E0,4.451255128E-2,-1.687907577E-1,-1.104377396E-2
3.912949833E0,2.681000531E-1,2.728350759E-1,1.225325838E-1
3.932837833E0,4.380336702E-1,6.133282781E-1,1.977274269E-1
3.952725833E0,4.393947423E-1,7.972516418E-1,2.684789598E-1
3.972612833E0,3.459942043E-1,8.134832978E-1,3.655996025E-1
3.992500833E0,2.514263391E-1,7.705051899E-1,4.135826528E-1
4.012388833E0,1.804151088E-1,6.726046205E-1,3.696751893E-1
4.032276833E0,1.748712659E-1,4.509846568E-1,2.561012506E-1
4.052164833E0,1.599720418E-1,1.875820458E-1,1.515318006E-1
4.072052833E0,5.384097621E-2,2.875659615E-3,5.379573256E-2
4.091940833E0,-9.882046282E-2,-9.233980626E-2,-7.841983438E-2
4.111828833E0,-2.375806272E-1,-2.508478165E-1,-1.979000568E-1
4.131716833E0,-3.592815697E-1,-4.144096076E-1,-3.078970909E-1
4.151603833E0,-4.059920013E-1,-5.377926230E-1,-3.813595474E-1
4.171491833E0,-4.461243749E-1,-6.190372705E-1,-4.239550531E-1
4.191379833E0,-4.485982060E-1,-6.788449287E-1,-3.598120809E-1
4.211267833E0,-3.647384048E-1,-6.446303725E-1,-2.332003713E-1
4.231155833E0,-2.354377955E-1,-4.043582976E-1,-9.954689443E-2
4.251043833E0,1.765572093E-2,-9.400658309E-3,-4.248523153E-3
4.270931833E0,2.705384195E-1,4.045919478E-1,1.319091767E-1
4.290819833E0,4.360671937E-1,6.956567168E-1,2.582229972E-1
4.310707833E0,3.948648870E-1,7.428479195E-1,3.560864329E-1
4.330595833E0,2.841137648E-1,6.211872101E-1,3.962101340E-1
4.350483833E0,1.600473970E-1,5.801549554E-1,3.519196808E-1
4.370370833E0,1.374694407E-1,4.271726906E-1,2.537695467E-1
4.390258833E0,9.195620567E-2,2.634289265E-1,1.728585064E-1
4.410146833E0,2.141021751E-2,-2.754499763E-2,7.318431884E-2
4.430034958E0,-1.753039509E-1,-1.378594041E-1,-1.127170771E-1
4.449922958E0,-3.507394195E-1,-4.626825750E-1,-2.967044115E-1
4.469810958E0,-4.281376600E-1,-7.390552163E-1,-4.098809063E-1
4.489698958E0,-4.457243383E-1,-8.195880651E-1,-4.284659922E-1
4.509586958E0,-3.540780544E-1,-8.348756433E-1,-3.578878939E-1
4.529474958E0,-3.164134920E-1,-6.970225573E-1,-2.636202574E-1
4.549362958E0,-1.949462295E-1,-3.789944053E-1,-1.614952683E-1
4.569250958E0,-3.015337512E-2,9.132510424E-2,4.509656690E-3
4.589138958E0,2.255932540E-1,5.525482297E-1,1.449828297E-1
4.609025958E0,5.137217641E-1,8.515695333E-1,3.219045103E-1
4.628913958E0,6.000707746E-1,9.772794843E-1,4.719173312E-1
4.648801958E0,4.855490625E-1,9.390304089E-1,5.337511897E-1
4.668689958E0,3.670894802E-1,7.040741444E-1,4.972077608E-1
4.688577958E0,2.882483900E-1,5.160937905E-1,2.962960005E-1
4.708465958E0,2.858242691E-1,2.238365859E-1,6.174215674E-2
4.728353958E0,2.501736283E-1,-2.176692635E-1,-3.849437833E-2
4.748241958E0,-6.378401816E-2,4.862342030E-4,-6.240299903E-3
4.768129958E0,-2.674789429E-1,-2.061313987E-1,-1.928404570E-1
4.788017958E0,-3.896687925E-1,-5.435349941E-1,-3.441318870E-1
4.807905958E0,-4.840548337E-1,-7.544591427E-1,-4.231796265E-1
4.827793958E0,-4.972764552E-1,-7.157467008E-1,-4.308142066E-1
4.847681958E0,-3.890146017E-1,-7.786723375E-1,-3.628985286E-1
4.867569958E0,-2.843220830E-1,-6.456278563E-1,-2.319339067E-1
4.887456958E0,-9.693251550E-2,-4.059012532E-1,-9.713316709E-2
4.907344958E0,1.221574545E-1,-1.264479943E-3,2.684436366E-2
4.927232958E0,3.392507136E-1,4.027323425E-1,1.819312572E-1
4.947120958E0,5.377812982E-1,6.546920538E-1,3.301711977E-1
4.967008958E0,5.529052615E-1,6.516723633E-1,4.007344246E-1
4.986896958E0,4.387655258E-1,5.221541524E-1,4.246927500E-1
5.006784958E0,3.666275442E-1,3.831994832E-1,3.773244917E-1
5.026672958E0,3.969478905E-1,1.472827196E-1,2.100534141E-1
5.046560958E0,3.205125928E-1,2.020495683E-1,1.422188133E-1
5.066448958E0,1.352680176E-1,1.381813884E-1,7.750524580E-2
5.086336958E0,-2.404495515E-2,-9.849742800E-2,-2.014876530E-2
5.106224958E0,-2.215298265E-1,-1.986532658E-1,-1.515781134E-1
5.126112958E0,-3.521553576E-1,-4.615043402E-1,-2.790698707E-1
5.146000958E0,-4.425615370E-1,-5.977125168E-1,-3.556507528E-1
5.165888958E0,-4.115502834E-1,-7.896664143E-1,-3.839578629E-1
5.185776958E0,-3.960848451E-1,-6.250604987E-1,-3.060003817E-1
5.205664958E0,-2.717284858E-1,-3.493704498E-1,-1.625494808E-1
5.225552958E0,3.573084250E-2,-2.086430192E-1,-3.415561095E-2
5.245440958E0,2.837904096E-1,1.981866658E-1,1.935217232E-1
5.265327958E0,5.730378628E-1,7.002459168E-1,3.857067227E-1
5.285215958E0,7.798864841E-1,9.410207868E-1,5.151968002E-1
5.305103958E0,7.652863860E-1,8.098360300E-1,5.577149987E-1
5.324991958E0,6.683056355E-1,7.123022676E-1,4.102461338E-1
5.344879958E0,7.513307333E-1,1.215834450E-2,1.625896692E-1
