"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.998108083E0,-8.659293103E0,-4.321440861E0,-1.605579052E0
3.017996083E0,-8.749356596E0,-4.198769493E0,-1.433590805E0
3.037884083E0,-8.837426773E0,-4.070823351E0,-1.250754658E0
3.057772083E0,-8.916921424E0,-3.940575745E0,-1.093831396E0
3.077660083E0,-8.978291461E0,-3.838117617E0,-9.461647888E-1
3.097547083E0,-9.022240303E0,-3.761885127E0,-8.267684459E-1
3.117435083E0,-9.051590402E0,-3.716852796E0,-6.998729027E-1
3.137323083E0,-9.067522311E0,-3.688797855E0,-6.394606400E-1
3.157211083E0,-9.071797210E0,-3.689558286E0,-5.707747499E-1
3.177099083E0,-9.065327851E0,-3.709498461E0,-5.436430480E-1
3.196987083E0,-9.044583099E0,-3.756079427E0,-5.687471914E-1
3.216875083E0,-9.008764225E0,-3.831787129E0,-6.290272339E-1
3.236762083E0,-8.963419653E0,-3.921182870E0,-7.193976329E-1
3.256650083E0,-8.931901991E0,-3.974610341E0,-8.122078557E-1
3.276538083E0,-8.937245176E0,-3.952701994E0,-8.590131359E-1
3.296426083E0,-8.957626816E0,-3.907479920E0,-8.536067272E-1
3.316314083E0,-8.968467554E0,-3.881857129E0,-8.566732264E-1
3.336202083E0,-8.974477907E0,-3.863142530E0,-8.780714775E-1
3.356089083E0,-8.966704618E0,-3.870151003E0,-9.253373721E-1
3.375977083E0,-8.948861840E0,-3.895325021E0,-9.901597510E-1
3.395865083E0,-8.935795067E0,-3.911356624E0,-1.043528677E0
3.415753083E0,-8.932830529E0,-3.913219839E0,-1.061779737E0
3.435640833E0,-8.932911805E0,-3.912214703E0,-1.064786522E0
3.455528833E0,-8.930007493E0,-3.918545776E0,-1.065881998E0
3.475416833E0,-8.922783843E0,-3.935536907E0,-1.063751784E0
3.495303833E0,-8.914564996E0,-3.958782221E0,-1.046270217E0
3.515191833E0,-8.908990846E0,-3.978395536E0,-1.018990471E0
3.535079833E0,-8.905678398E0,-3.987998126E0,-1.010373137E0
3.554967833E0,-8.904135318E0,-3.982823925E0,-1.043833463E0
3.574855833E0,-8.905094846E0,-3.962325926E0,-1.111457828E0
3.594743833E0,-8.911658345E0,-3.922911015E0,-1.195490649E0
3.614631833E0,-8.927086224E0,-3.866491231E0,-1.262330244E0
3.634518833E0,-8.949631918E0,-3.804847837E0,-1.289706031E0
3.654406833E0,-8.971271294E0,-3.746324225E0,-1.310516271E0
3.674294833E0,-8.985940788E0,-3.704244445E0,-1.329488147E0
3.694182833E0,-8.994953102E0,-3.687279041E0,-1.315632000E0
3.714070833E0,-8.997196679E0,-3.688232430E0,-1.297497299E0
3.733958833E0,-8.990439636E0,-3.710906470E0,-1.279566813E0
3.753846833E0,-8.978694334E0,-3.751223314E0,-1.243981828E0
3.773734833E0,-8.965955005E0,-3.800160416E0,-1.185987900E0
3.793622833E0,-8.952447352E0,-3.855880288E0,-1.105440750E0
3.813509833E0,-8.939204578E0,-3.911952163E0,-1.011599371E0
3.833397833E0,-8.929484752E0,-3.958836600E0,-9.099515936E-1
3.853285833E0,-8.925732594E0,-3.989036592E0,-8.093123145E-1
3.873173833E0,-8.926706155E0,-4.004240229E0,-7.183984168E-1
