"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.932837833E0,-6.667889911E-1,8.360196912E-1,2.039821061E0
3.952725833E0,-4.707084614E-1,6.388024628E-1,1.404517572E0
3.972612833E0,-3.317628300E-1,2.839714900E-1,8.129254552E-1
3.992500833E0,-2.722697496E-2,-8.644815981E-3,7.989986300E-2
4.012388833E0,1.310273319E-1,-3.256592140E-1,-8.486344743E-1
4.032276833E0,4.652904314E-1,-5.803355688E-1,-1.641865411E0
4.052164833E0,7.322327828E-1,-5.788766885E-1,-2.048894770E0
4.072052833E0,9.800997627E-1,-2.024803072E-1,-2.123569561E0
4.091940833E0,1.179337204E0,3.096100688E-4,-1.773451006E0
4.111828833E0,1.006077772E0,-1.493697551E-1,-1.590906926E0
4.131716833E0,7.537189615E-1,-2.903186426E-1,-1.330050796E0
4.151603833E0,3.768565571E-1,-4.613353747E-1,-8.057895132E-1
4.171491833E0,-3.573818207E-2,-7.226518276E-1,-4.309561658E-1
4.191379833E0,-7.285887980E-1,-7.392965117E-1,2.344698393E-1
4.211267833E0,-1.117564294E0,-2.946660474E-1,1.122327436E0
4.231155833E0,-9.208224446E-1,5.423763219E-1,1.986122571E0
4.251043833E0,-9.220398349E-1,1.020975893E0,2.774782155E0
4.270931833E0,-8.669233954E-1,1.294763288E0,2.309437344E0
4.290819833E0,-4.749985635E-1,1.049702679E0,1.933236845E0
4.310707833E0,-2.204213190E-1,5.444626084E-1,1.112024715E0
4.330595833E0,-9.294500113E-2,-7.642340094E-2,1.621305723E-1
4.350483833E0,6.891703784E-2,-5.395600104E-1,-7.425110185E-1
4.370370833E0,1.978446347E-1,-8.567580110E-1,-1.665017900E0
4.390258833E0,5.049316299E-1,-8.559589890E-1,-2.359446241E0
4.410146833E0,1.247569533E0,-5.216976437E-1,-2.706493692E0
4.430034958E0,1.490221381E0,-1.205935603E-1,-2.148793280E0
4.449922958E0,1.410415658E0,-4.447158337E-2,-1.984554056E0
4.469810958E0,7.061337358E-1,-2.434464848E-1,-1.106895318E0
