"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.421643375E0,-1.889715317E1,-9.598938904E0,-1.085153412E1
3.441533375E0,-1.113893646E1,-1.389410706E1,-3.169958038E0
3.461423375E0,-7.628735962E0,-1.487112534E1,1.611488892E1
3.481312375E0,-4.559219055E0,-1.494342499E1,9.508826294E0
3.501202375E0,-4.157155151E0,-1.859657822E1,6.484515381E-1
3.521092375E0,-4.242178345E0,-2.350681732E1,-5.812413025E0
3.540981375E0,-2.620450745E0,-2.244118332E1,1.977388000E-1
3.560871375E0,-1.150357819E0,-1.585817276E1,5.473817139E0
3.580761375E0,1.794019318E0,-1.066307602E1,3.921245728E0
3.600650375E0,2.601739655E0,-7.023394775E0,2.279609528E0
3.620540375E0,1.529519348E0,-4.856500854E0,3.649710388E0
3.640430375E0,1.902393951E0,-2.473456421E0,6.625971222E0
3.660319375E0,1.598974915E0,-6.334826660E-1,7.829169159E0
3.680209375E0,1.410965881E0,9.424401855E-1,1.566193085E0
3.700099375E0,2.276765442E0,1.135388947E0,9.738748169E-1
3.719988375E0,3.166664886E0,-7.009922791E-1,2.657423859E0
3.739878375E0,4.470154266E0,-1.495689697E0,1.645528107E0
3.759768375E0,6.408623199E0,-3.229384460E0,-1.243763580E0
3.779657708E0,6.306086426E0,-7.351213074E0,-4.539909210E0
3.799547708E0,-6.774163055E0,-2.271331741E1,-2.523407547E1
3.819437708E0,-1.862546814E1,-2.988744873E1,-1.329011307E1
3.839326708E0,-1.480900452E1,-1.495839386E1,-6.669530640E0
3.859216708E0,-6.890770569E0,-1.657802582E0,-1.025517426E1
3.879106708E0,-3.302731934E0,-9.352700958E0,8.198451233E-1
3.898995708E0,2.481838989E-1,-1.578108307E1,9.602830811E0
3.918885708E0,3.504662018E0,-1.751911880E1,8.826694794E0
3.938775708E0,4.349954224E0,-1.166209854E1,3.405717773E0
3.958664708E0,3.031046906E0,-7.557484131E0,-7.384144592E-1
3.978554708E0,3.010838928E0,-6.396199036E0,-1.524878998E0
3.998443708E0,2.673590240E0,-7.415878601E0,-4.270619202E-1
4.018333708E0,1.882635040E0,-9.232949982E0,1.750010834E0
4.038223708E0,8.726852417E-2,-1.141541153E1,3.478466492E0
4.058112708E0,-2.771786041E0,-1.267025208E1,5.218747559E0
4.078002708E0,-3.762126617E0,-1.087338867E1,5.464087372E0
4.097892708E0,-3.650159454E0,-7.955955505E0,4.625680847E0
4.117781708E0,-3.848347321E0,-5.483247528E0,3.730093231E0
4.137671708E0,-3.963008881E0,-4.846771088E0,1.388213196E0
4.157561708E0,-4.891378326E0,-4.897066498E0,1.466949463E-2
4.177450708E0,-6.359076233E0,-6.559659119E0,-2.360591125E-1
4.197340708E0,-6.156248016E0,-8.154592438E0,-7.087760925E-1
4.217230708E0,-5.233117676E0,-8.742719421E0,-1.935475159E0
4.237119708E0,-5.028642883E0,-8.203390961E0,-3.005450134E0
4.257009708E0,-4.758005676E0,-8.874295807E0,-9.044940948E0
4.276899708E0,-3.944746857E0,-9.454638977E0,-7.291038208E0
4.296789708E0,-7.887547760E0,-1.345746506E1,1.188378754E0
4.316678708E0,-1.028286667E1,-1.416863617E1,7.024891663E-1
4.336568708E0,-1.388168289E1,-1.181058975E1,-7.954009552E0
4.356457708E0,-1.782104095E1,-1.193228668E1,-6.664890289E0
