"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
3.947476708E0,-3.087042474E0,-9.173060460E0,-1.600383801E0
3.967366708E0,-2.975108348E0,-9.268158991E0,-1.219044622E0
3.987255708E0,-2.924775223E0,-9.325558183E0,-8.460216460E-1
4.007145708E0,-2.848383689E0,-9.367478626E0,-6.108668053E-1
4.027035708E0,-2.714783582E0,-9.412211580E0,-5.256648699E-1
4.046924708E0,-2.561021399E0,-9.451969723E0,-5.809891779E-1
4.066814708E0,-2.467514188E0,-9.467703411E0,-7.142069864E-1
4.086704708E0,-2.452199307E0,-9.465152271E0,-7.960612813E-1
4.106593708E0,-2.487553181E0,-9.460593781E0,-7.384595559E-1
4.126483708E0,-2.541085025E0,-9.461524658E0,-5.084819862E-1
4.146373708E0,-2.590857986E0,-9.461128217E0,-1.030084064E-1
4.166262708E0,-2.639217968E0,-9.436582190E0,4.706885078E-1
4.186152708E0,-2.704511486E0,-9.361412725E0,1.133881461E0
4.206042708E0,-2.725689809E0,-9.249201733E0,1.805264390E0
4.225931708E0,-2.580994610E0,-9.157511544E0,2.390511328E0
4.245821708E0,-2.283207904E0,-9.099896590E0,2.866171212E0
4.265711708E0,-1.845165644E0,-9.050575910E0,3.304320914E0
4.285600708E0,-1.426551050E0,-9.108483226E0,3.352101437E0
4.305490708E0,-1.302019098E0,-9.241216190E0,3.023373312E0
4.325380708E0,-1.318498013E0,-9.337767169E0,2.702551500E0
4.345269708E0,-1.403461857E0,-9.427129582E0,2.322846179E0
4.365159708E0,-1.723983707E0,-9.514385827E0,1.655426420E0
4.385049708E0,-2.185093964E0,-9.510093970E0,1.009743465E0
4.404938708E0,-2.783291900E0,-9.390970400E0,5.468688838E-1
4.424828708E0,-3.267814993E0,-9.249657816E0,3.613199661E-2
4.444718708E0,-3.430370219E0,-9.172016147E0,-5.854716168E-1
4.464607708E0,-3.316909970E0,-9.151238651E0,-1.220257408E0
4.484497708E0,-3.158464459E0,-9.114218760E0,-1.786396303E0
4.504387708E0,-3.123451039E0,-9.050396401E0,-2.137868196E0
4.524276708E0,-3.238495300E0,-8.960024174E0,-2.337990468E0
4.544166708E0,-3.404156567E0,-8.843903149E0,-2.536370122E0
4.564056708E0,-3.541846216E0,-8.725762496E0,-2.748184048E0
4.583945708E0,-3.636011531E0,-8.616570421E0,-2.961450421E0
4.603835708E0,-3.759290718E0,-8.505128923E0,-3.125161642E0
4.623725708E0,-3.950302004E0,-8.404455657E0,-3.161696507E0
4.643614708E0,-4.042293909E0,-8.390216517E0,-3.082246588E0
4.663504708E0,-3.965040203E0,-8.476238415E0,-2.944140032E0
4.683394708E0,-3.800100482E0,-8.617096671E0,-2.746088698E0
4.703283708E0,-3.568177105E0,-8.791453625E0,-2.492901921E0
4.723173708E0,-3.252561946E0,-8.968097425E0,-2.286957577E0
4.743063708E0,-2.852823188E0,-8.968737695E0,-2.767536285E0
4.762952708E0,-2.795437736E0,-8.947216433E0,-2.892915207E0
4.782842583E0,-2.996826953E0,-9.018736652E0,-2.432586138E0
4.802732583E0,-3.290238480E0,-9.050450195E0,-1.870771040E0
4.822621583E0,-3.580760898E0,-8.954816059E0,-1.795978135E0
4.842511583E0,-3.644571270E0,-8.858703622E0,-2.115786771E0
4.862401583E0,-3.494815014E0,-8.865141406E0,-2.330589939E0
4.882290583E0,-3.341085575E0,-8.969980229E0,-2.147724409E0
4.902180583E0,-3.274807678E0,-9.098185109E0,-1.653708508E0
4.922070583E0,-3.197209572E0,-9.202949088E0,-1.148766645E0
4.941959583E0,-3.046934375E0,-9.289106641E0,-8.153444483E-1
4.961849583E0,-2.833717118E0,-9.366005128E0,-6.957827023E-1
4.981739583E0,-2.626473961E0,-9.422316154E0,-7.467781703E-1
5.001628583E0,-2.494095338E0,-9.450330749E0,-8.407484807E-1
5.021518583E0,-2.453452219E0,-9.459862880E0,-8.530311419E-1
5.041408583E0,-2.474636974E0,-9.468507403E0,-6.779614122E-1
5.061297583E0,-2.495813250E0,-9.486075947E0,-1.462358668E-1
5.081187583E0,-2.424183835E0,-9.475279064E0,7.606112207E-1
5.101077583E0,-2.277744412E0,-9.384639035E0,1.725265856E0
5.120966583E0,-2.154812989E0,-9.222962353E0,2.555359540E0
5.140856583E0,-2.057998154E0,-9.054576575E0,3.164711332E0
5.160746583E0,-1.838440761E0,-8.984394200E0,3.483805292E0
5.180635583E0,-1.431696454E0,-9.070942932E0,3.450266832E0
5.200525583E0,-1.143373173E0,-9.179360250E0,3.266210225E0
5.220415583E0,-1.048815364E0,-9.241797988E0,3.118533238E0
5.240304583E0,-9.705999376E-1,-9.283941211E0,3.017030837E0
5.260194583E0,-9.677142636E-1,-9.393351971E0,2.657926427E0
5.280084583E0,-1.211569980E0,-9.494059151E0,2.151982205E0
5.299973583E0,-1.656589431E0,-9.544440515E0,1.547728747E0
5.319863583E0,-2.232305553E0,-9.502763901E0,9.748846310E-1
5.339753583E0,-2.898889307E0,-9.360839698E0,4.551911936E-1
5.359642583E0,-3.408527068E0,-9.197035798E0,-1.805092482E-1
5.379532583E0,-3.591386751E0,-9.088596845E0,-8.575918970E-1
5.399422583E0,-3.519212814E0,-9.039556832E0,-1.462076393E0
5.419311583E0,-3.390450986E0,-9.009717321E0,-1.888377445E0
5.439201583E0,-3.342556150E0,-8.992129481E0,-2.050621014E0
5.459091583E0,-3.362657123E0,-8.993152159E0,-2.012926062E0
5.478980583E0,-3.438208412E0,-8.985239707E0,-1.918415468E0
5.498870583E0,-3.626375028E0,-8.901450861E0,-1.962061279E0
5.518760583E0,-3.806483595E0,-8.787249477E0,-2.128623310E0
5.538649583E0,-3.841525374E0,-8.717809113E0,-2.340640572E0
5.558539583E0,-3.785107344E0,-8.701363819E0,-2.489045098E0
5.578429583E0,-3.713538010E0,-8.731008033E0,-2.493041670E0
5.598318583E0,-3.589827883E0,-8.828707990E0,-2.324462934E0
