"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.251338375E0,-4.239766368E0,1.975168397E0,-2.379131477E0
3.271227375E0,-3.148705164E0,1.651712122E0,-3.311881657E0
3.291117375E0,-2.257911387E0,2.034380811E0,-4.279192097E0
3.311007375E0,-4.132505337E0,2.735362566E-1,-7.876409984E0
3.330896375E0,-5.839644093E0,-1.256533315E0,-1.555456778E1
3.350786375E0,-5.796419721E0,-2.999210570E0,-3.931195934E0
3.370676375E0,-7.889631708E0,-3.273192385E0,-1.325942396E0
3.390565375E0,-1.040830348E1,2.682304931E-1,-7.632341355E0
3.410455375E0,-1.575767666E1,1.622233969E-1,-9.401311201E0
3.430345375E0,-1.311823416E1,-5.018074626E-1,-1.155508514E1
3.450234375E0,-7.392743508E0,-6.235042171E0,7.437756543E0
3.470124375E0,-2.620197560E0,-4.916914287E0,1.373204563E1
3.490014375E0,-4.164568251E-1,-7.196014522E0,6.578558489E0
3.509903375E0,-5.446894804E-1,-1.191307273E1,-2.470598594E0
3.529793375E0,5.134615481E-2,-1.514706012E1,-3.167692827E0
3.549683375E0,1.924782648E0,-1.069866100E1,6.216415865E0
3.569572375E0,3.467937118E0,-4.519405364E0,6.241562401E0
3.589462375E0,6.313583726E0,-2.953136265E-2,5.264492666E0
3.609352375E0,6.179252132E0,2.768570657E0,4.412603339E0
3.629241375E0,5.390878478E0,4.878957671E0,7.312067134E0
3.649131375E0,6.029674509E0,7.123484489E0,1.046482968E1
3.669021375E0,5.548005441E0,8.661312731E0,7.624956322E0
3.688910375E0,5.786107571E0,9.883759117E0,2.970507758E0
3.708800375E0,6.750427453E0,9.041043779E0,4.471026671E0
3.728690375E0,7.435131143E0,7.519602944E0,4.881530153E0
3.748579375E0,8.962649574E0,6.790811248E0,2.748059210E0
3.768469708E0,1.016314844E1,4.493027989E0,-1.023214500E-1
3.788359708E0,6.669963334E0,-2.545968912E0,-7.649729805E0
3.808248708E0,-1.407033278E1,-2.313008590E1,-2.910232437E1
3.828138708E0,-1.427330484E1,-1.457620113E1,-3.177533691E0
3.848028708E0,-7.270487584E0,1.312847849E0,-7.010850159E0
3.867917708E0,-1.754482200E0,7.578867399E0,-4.445081406E0
3.887807708E0,1.891818385E0,-4.577840683E0,6.682676350E0
3.907697708E0,4.856481559E0,-8.899189158E0,1.230089867E1
3.927586708E0,7.731471541E0,-5.912446606E0,8.440834694E0
3.947476708E0,6.906499579E0,-7.771972865E-1,3.133645660E0
3.967366708E0,6.066329534E0,2.742778589E0,1.153901231E-1
3.987255708E0,5.845950900E0,2.682373343E0,-2.338324197E-1
4.007145708E0,5.237116002E0,1.149567860E0,1.041072189E0
4.027035708E0,4.033241834E0,-7.305464458E-1,3.122015548E0
4.046924708E0,1.378630194E0,-2.809931522E0,4.743833195E0
4.066814708E0,-1.034154055E0,-2.690913202E0,6.652208848E0
4.086704708E0,-1.274900296E0,-1.736038327E-1,5.810483444E0
4.106593708E0,-1.155570904E0,2.685683452E0,5.115058883E0
4.126483708E0,-1.336750974E0,4.419709167E0,3.248983158E0
4.146373708E0,-1.589499209E0,4.789194140E0,7.150852382E-1
4.166262708E0,-2.967373066E0,3.941209876E0,-6.401362127E-1
4.186152708E0,-3.801858448E0,1.992985448E0,-1.538340458E0
4.206042708E0,-2.984186442E0,6.925459760E-1,-2.825243626E0
4.225931708E0,-2.175064820E0,8.110187513E-1,-4.999136664E0
4.245821708E0,-3.162767133E0,6.516154665E-1,-6.976624067E0
4.265711708E0,-1.983422766E0,3.927299935E-1,-1.233923301E1
4.285600708E0,-4.165520178E0,-2.263518575E0,-7.582305561E0
4.305490708E0,-7.625565602E0,-4.859311611E0,2.265187955E-1
4.325380708E0,-1.033312232E1,-3.787988852E0,-7.162377244E0
4.345269708E0,-1.447955952E1,-2.276132773E0,-1.009678020E1
4.365159708E0,-1.564350042E1,-1.802529940E0,-5.722618504E0
4.385049708E0,-1.337998828E1,-5.360133233E0,-8.134927082E0
4.404938708E0,-5.369803358E0,-6.617938902E0,1.324919191E1
4.424828708E0,5.553059775E-1,-4.850270646E0,9.737493941E0
4.444718708E0,4.530948937E-2,-9.018157192E0,-1.204506544E0
4.464607708E0,3.171480069E-1,-1.133890188E1,-2.892140450E0
4.484497708E0,1.663972564E0,-9.218906724E0,3.398694098E0
4.504387708E0,3.311759450E0,-5.641701225E0,4.777030177E0
4.524276708E0,5.677822984E0,-2.491760545E0,5.686377461E0
4.544166708E0,6.767811810E0,1.608550315E0,7.528938024E0
4.564056708E0,5.569978108E0,4.958545293E0,1.347218367E1
4.583945708E0,3.730915057E0,6.321844672E0,1.084810063E1
4.603835708E0,1.809295461E0,7.741565589E0,4.011917039E0
4.623725708E0,1.924115773E0,8.832565983E0,5.019482635E0
4.643614708E0,5.216901008E0,9.991736140E0,8.309526111E0
4.663504708E0,6.872293952E0,8.246315371E0,7.007889129E0
4.683394708E0,7.404903377E0,6.901962140E0,5.865002882E0
4.703283708E0,8.830633478E0,5.045942456E0,3.180571904E0
4.723173708E0,8.283599557E0,5.771464974E-1,-3.642362777E0
4.743063708E0,-1.557605279E0,-1.934308756E1,-3.553840610E1
4.762952708E0,-1.049018438E1,-1.874729371E1,-6.776975566E0
4.782842583E0,-6.407066671E0,-1.352593712E0,-1.266382014E1
4.802732583E0,-5.020778378E0,2.477768158E0,-1.054321395E1
4.822621583E0,1.957835788E0,-8.111494365E0,1.481425649E1
4.842511583E0,7.037416399E0,-8.037259870E0,1.639728838E1
4.862401583E0,8.452355463E0,-4.763328981E-1,8.644161093E0
4.882290583E0,7.470697417E0,3.751680567E0,2.357138637E0
4.902180583E0,7.243654711E0,4.432687647E0,3.154913445E-1
4.922070583E0,7.015170082E0,1.087576264E0,2.543116640E0
4.941959583E0,6.064060814E0,-2.225398822E0,4.345154829E0
4.961849583E0,3.616738524E0,-4.075145028E0,5.970812927E0
4.981739583E0,1.187394083E-1,-4.747815734E0,8.164752560E0
5.001628583E0,-2.130687377E0,-3.735749243E0,7.770139178E0
5.021518583E0,-1.982123660E0,-5.790105897E-1,5.450870326E0
5.041408583E0,-1.896871841E0,2.368771965E0,2.446084435E0
5.061297583E0,-1.784236341E0,4.850964711E0,-2.772094774E0
5.081187583E0,-2.241912821E0,5.591904582E0,-2.783354757E0
5.101077583E0,-3.887484781E0,4.031770383E0,-1.833341258E0
5.120966583E0,-4.319823229E0,2.383833223E0,-1.882957514E0
5.140856583E0,-3.374355063E0,1.285731971E0,-3.805828122E0
5.160746583E0,-2.273508543E0,5.961376691E-1,-1.549258379E1
5.180635583E0,-3.197876447E0,-9.387418216E-1,-1.103649091E1
5.200525583E0,-5.582589968E0,-1.787134221E0,-5.659756842E-1
5.220415583E0,-7.210109820E0,-3.111712169E0,1.819533643E-1
5.240304583E0,-7.045231202E0,-3.291707593E0,-1.161769479E1
5.260194583E0,-1.081997319E1,-2.366193928E0,-7.866045794E0
5.280084583E0,-1.485002975E1,-1.821808795E0,-3.135586643E0
5.299973583E0,-1.701902399E1,-1.298112280E0,-1.056363008E1
5.319863583E0,-1.122021978E1,-6.460490926E0,6.274240735E0
5.339753583E0,-3.981551863E0,-4.813633162E0,1.214799982E1
5.359642583E0,-7.802124032E-1,-6.177193328E0,5.619449061E0
5.379532583E0,-4.038052046E-1,-9.979651115E0,-1.816446898E0
5.399422583E0,1.381939718E-1,-1.224737676E1,-1.785570091E0
5.419311583E0,1.206043192E0,-9.788792149E0,7.430603060E0
5.439201583E0,2.782420957E0,-6.066257613E0,6.750547321E0
5.459091583E0,6.667484114E0,-1.680103862E0,5.466095306E0
5.478980583E0,6.380489906E0,1.657526593E0,5.709581552E0
5.498870583E0,5.272801559E0,4.199279078E0,5.995423858E0
5.518760583E0,6.794420149E0,7.103251369E0,1.024669111E1
5.538649583E0,7.426270857E0,8.814807404E0,1.011008379E1
5.558539583E0,6.630989302E0,9.927164168E0,3.727719262E0
5.578429583E0,7.017617142E0,1.037249396E1,2.622972064E0
5.598318583E0,8.423126986E0,9.090964383E0,4.037949720E0
5.618208583E0,9.348554698E0,7.458604791E0,2.809092447E0
5.638098583E0,8.398620136E0,4.168017524E0,-1.975821970E0
5.657988583E0,3.583015877E0,-4.541355811E0,-1.523656813E1
5.677877583E0,-1.379913892E1,-2.518727436E1,-2.372247199E1
5.697767583E0,-1.432179229E1,-1.446248214E1,-4.082400838E0
5.717657583E0,-8.113189473E0,2.681185774E0,-1.106319046E1
5.737546583E0,-2.864012420E0,-3.276043487E0,2.629703379E0
5.757436583E0,3.068908504E0,-6.847677759E0,1.403804913E1
5.777325750E0,8.884213269E0,-2.264637732E0,1.098244509E1
5.797214750E0,9.705260580E0,2.131156908E0,5.447621613E0
5.817104750E0,7.855391582E0,4.930782128E0,1.723413165E0
5.836994750E0,7.153989998E0,3.714470640E0,1.009417702E0
5.856883750E0,6.152395286E0,1.509751081E-2,2.236088701E0
5.876773750E0,5.721170733E0,-2.399462830E0,3.802252550E0
5.896663750E0,3.388384287E0,-3.357596943E0,5.779004374E0
5.916552750E0,3.779018931E-1,-3.368666891E0,7.438368162E0
5.936442750E0,-1.133002405E0,-1.500901321E0,7.236122328E0
5.956332750E0,-1.485835969E0,6.785109043E-1,5.095308158E0
5.976221750E0,-1.138361817E0,2.562404265E0,1.290230234E0
5.996111750E0,-1.703743717E0,4.251145635E0,-2.574812057E0
6.016001750E0,-3.111388233E0,3.809487310E0,-2.221641401E0
6.035890750E0,-4.446637934E0,2.656920413E0,-2.224145764E0
6.055780750E0,-3.965879279E0,1.639411334E0,-3.559981648E0
6.075670750E0,-2.943143081E0,1.488193567E0,-5.945669900E0
6.095559750E0,-1.959906580E0,-1.343393703E0,-3.071383806E1
6.115449750E0,-1.722221649E0,-2.880406843E0,-6.250458940E0
6.135339750E0,-5.329110830E0,-4.719001824E0,4.588081204E0
6.155229750E0,-9.790086138E0,-3.744445222E0,-2.006136129E0
6.175118750E0,-1.534547369E1,-1.464638643E0,-1.114600809E1
6.195008750E0,-1.943393809E1,-1.986772782E-1,-9.627049978E0
6.214898750E0,-1.295805788E1,-2.702277265E0,-5.862305562E0
6.234787750E0,-6.528482934E0,-7.572147778E0,1.726371710E1
6.254677750E0,-1.825582588E-1,-5.325319496E0,1.031484041E1
6.274567750E0,7.120169118E-1,-8.180237156E0,1.311491879E0
6.294456750E0,4.003804904E-1,-1.213056226E1,-4.293562506E0
6.314346750E0,1.044294004E0,-1.305665246E1,2.623296000E0
6.334236750E0,3.519416005E0,-8.612186764E0,5.814250220E0
6.354125750E0,5.222145376E0,-3.611749679E0,5.397202241E0
6.374015750E0,7.254985446E0,1.030800970E0,7.493680483E0
6.393905750E0,5.674245658E0,4.222225306E0,6.163588611E0
6.413794750E0,4.738177768E0,7.013446907E0,7.249145247E0
